Key,Proyecto,Species,Sum of NUM_IND,Sum of ABUND_REL,Sum of ABUND_ABS
149,EIA PPII - KALE sobre YNC,anthophilus,6,6,0.559
150,EIA PPII - KALE sobre YNC,lineatum,2,2,0.125
151,EIA PPII - KALE sobre YNC,infuscatus,12,12,0.206
152,EIA PPII - KALE sobre YNC,americana,2,2,0.125
153,EIA PPII - KALE sobre YNC,nigriceps,4,4,0.525
154,EIA PPII - KALE sobre YNC,palmarum,13,13,0.624
155,EIA PPII - KALE sobre YNC,subrufescens,9,9,1.399
156,EIA PPII - KALE sobre YNC,manacus,11,11,1.316
157,EIA PPII - KALE sobre YNC,hirsutus,9,9,0.743
158,EIA PPII - KALE sobre YNC,murina,2,2,0.166
159,EIA PPII - KALE sobre YNC,flaveola,8,8,0.465
160,EIA PPII - KALE sobre YNC,canadensis,10,10,0.374
161,EIA PPII - KALE sobre YNC,leucotis,4,4,0.147
162,EIA PPII - KALE sobre YNC,icterocephalus,29,29,0.699
163,EIA PPII - KALE sobre YNC,alba,10,10,0.26
164,EIA PPII - KALE sobre YNC,amazona,1,1,0.033
165,EIA PPII - KALE sobre YNC,melancholicus,22,22,1.445
166,EIA PPII - KALE sobre YNC,episcopus,16,16,0.797
167,EIA PPII - KALE sobre YNC,ibis,53,53,0.934
168,EIA PPII - KALE sobre YNC,atratus,62,62,3.335
169,EIA PPII - KALE sobre YNC,picus,22,22,1.052
170,EIA PPII - KALE sobre YNC,albescens,3,3,0.269
171,EIA PPII - KALE sobre YNC,candei,4,4,0.16
172,EIA PPII - KALE sobre YNC,elatus,2,2,0.083
173,EIA PPII - KALE sobre YNC,minuta,2,2,0.059
174,EIA PPII - KALE sobre YNC,aedon,4,4,0.248
175,EIA PPII - KALE sobre YNC,jacarina,1,1,0.059
176,EIA PPII - KALE sobre YNC,nigricollis,2,2,0.13
177,EIA PPII - KALE sobre YNC,maximus,3,3,0.159
178,EIA PPII - KALE sobre YNC,laniirostris,22,22,0.91
179,EIA PPII - KALE sobre YNC,talpacoti,59,59,1.69
180,EIA PPII - KALE sobre YNC,naevia,1,1,0.033
181,EIA PPII - KALE sobre YNC,aura,39,39,2.401
182,EIA PPII - KALE sobre YNC,punctigula,4,4,0.135
183,EIA PPII - KALE sobre YNC,sparverius,2,2,0.083
184,EIA PPII - KALE sobre YNC,jugularis,36,36,1.31
185,EIA PPII - KALE sobre YNC,cristatus,13,13,0.36
186,EIA PPII - KALE sobre YNC,tapera,2,2,0.08
187,EIA PPII - KALE sobre YNC,nigrogularis,5,5,0.317
188,EIA PPII - KALE sobre YNC,bonariensis,1,1,0.04
189,EIA PPII - KALE sobre YNC,cocoi,8,8,0.759
190,EIA PPII - KALE sobre YNC,susurrans,1,1,0.1
191,EIA PPII - KALE sobre YNC,inda,3,3,0.158
192,EIA PPII - KALE sobre YNC,spirurus,1,1,0.1
193,EIA PPII - KALE sobre YNC,flavogaster,14,14,0.5
194,EIA PPII - KALE sobre YNC,funerea,2,2,0.134
195,EIA PPII - KALE sobre YNC,dimidiatus,11,11,0.94
196,EIA PPII - KALE sobre YNC,albicollis,2,2,0.191
197,EIA PPII - KALE sobre YNC,conspicillatus,12,12,0.396
198,EIA PPII - KALE sobre YNC,leucopus,9,9,0.618
199,EIA PPII - KALE sobre YNC,jacana,104,104,1.233
200,EIA PPII - KALE sobre YNC,coerulescens,12,12,0.35
201,EIA PPII - KALE sobre YNC,petechia,3,3,0.131
202,EIA PPII - KALE sobre YNC,ruficauda,3,3,0.162
203,EIA PPII - KALE sobre YNC,sulphurescens,1,1,0.067
204,EIA PPII - KALE sobre YNC,noveboracensis,1,1,0.067
205,EIA PPII - KALE sobre YNC,citrea,2,2,0.133
206,EIA PPII - KALE sobre YNC,philadelphia,1,1,0.067
207,EIA PPII - KALE sobre YNC,viridis,1,1,0.018
208,EIA PPII - KALE sobre YNC,obsoletum,3,3,0.065
209,EIA PPII - KALE sobre YNC,fasciatoventris,1,1,0.018
210,EIA PPII - KALE sobre YNC,cinereum,10,10,0.708
211,EIA PPII - KALE sobre YNC,leucophaius,2,2,0.087
212,EIA PPII - KALE sobre YNC,zonatus,2,2,0.087
213,EIA PPII - KALE sobre YNC,striatipectus,1,1,0.043
214,EIA PPII - KALE sobre YNC,autumnalis,39,39,0.547
215,EIA PPII - KALE sobre YNC,plumbea,1,1,0.053
216,EIA PPII - KALE sobre YNC,rubinus,3,3,0.107
217,EIA PPII - KALE sobre YNC,maculatus,4,4,0.096
218,EIA PPII - KALE sobre YNC,gilvus,5,5,0.112
219,EIA PPII - KALE sobre YNC,cayana,2,2,0.1
220,EIA PPII - KALE sobre YNC,cheriway,2,2,0.1
221,EIA PPII - KALE sobre YNC,saucerottei,3,3,0.125
222,EIA PPII - KALE sobre YNC,concinna,1,1,0.048
223,EIA PPII - KALE sobre YNC,pitangua,1,1,0.048
224,EIA PPII - KALE sobre YNC,cinnamomeus,3,3,0.071
225,EIA PPII - KALE sobre YNC,sylvia,6,6,0.274
226,EIA PPII - KALE sobre YNC,auriculata,2,2,0.028
227,EIA PPII - KALE sobre YNC,grisea,4,4,0.182
228,EIA PPII - KALE sobre YNC,dominicensis,1,1,0.014
229,EIA PPII - KALE sobre YNC,chilensis,8,8,0.113
230,EIA PPII - KALE sobre YNC,simplex,17,17,0.155
231,EIA PPII - KALE sobre YNC,brasilianus,3,3,0.05
232,EIA PPII - KALE sobre YNC,ruficollis,3,3,0.091
233,EIA PPII - KALE sobre YNC,thula,4,4,0.037
234,EIA PPII - KALE sobre YNC,ajaja,10,10,0.093
235,EIA PPII - KALE sobre YNC,superciliaris,3,3,0.065
236,EIA PPII - KALE sobre YNC,mycteria,2,2,0.042
237,EIA PPII - KALE sobre YNC,leucocephala,4,4,0.086
238,EIA PPII - KALE sobre YNC,Sigmodon hirsutus cf,6,6,0.785
239,EIA PPII - KALE sobre YNC,Didelphis marupialis,82,82,4.817
240,EIA PPII - KALE sobre YNC,Puma yagouaroundi,8,8,1.159
241,EIA PPII - KALE sobre YNC,Molossus pretiosus,3,3,0.65
242,EIA PPII - KALE sobre YNC,Artibeus planirostris,1,1,0.25
243,EIA PPII - KALE sobre YNC,Anura sp,2,2,0.4
244,EIA PPII - KALE sobre YNC,Platyrrhinus helleri,1,1,1
245,EIA PPII - KALE sobre YNC,Sturnira ludovici cf,1,1,1
246,EIA PPII - KALE sobre YNC,Panthera onca,2,2,1.01
247,EIA PPII - KALE sobre YNC,Sturnira sp.,1,1,1
248,EIA PPII - KALE sobre YNC,Chiroderma salvini,1,1,0.1
