Key,Proyecto,Species,Sum of NUM_IND,Sum of ABUND_REL,Sum of ABUND_ABS
286,EIA PPII - PLATERO sobre YNC,Camponotus sp.5,25,0.002424287,25
287,EIA PPII - PLATERO sobre YNC,Camponotus sp.6,20,0.001945714,20
288,EIA PPII - PLATERO sobre YNC,Camponotus sp.7,73,0.006712734,73
289,EIA PPII - PLATERO sobre YNC,Camponotus sp.8,41,0.0040458,41
290,EIA PPII - PLATERO sobre YNC,Camponotus sp.9,6,0.000549149,6
291,EIA PPII - PLATERO sobre YNC,Camptostoma obsoletum,1,0.027449904,1
292,EIA PPII - PLATERO sobre YNC,Campylothorax sp.1,72,0.023106739,72
293,EIA PPII - PLATERO sobre YNC,Campylothorax sp.2,154,0.048815604,154
294,EIA PPII - PLATERO sobre YNC,Canthidium sp.1,2,0.006006006,2
295,EIA PPII - PLATERO sobre YNC,Canthidium sp.2,1,0.003003003,1
296,EIA PPII - PLATERO sobre YNC,Canthidium sp.3,1,0.00862069,1
297,EIA PPII - PLATERO sobre YNC,Canthon aff.mutabilis,6,0.023635705,6
298,EIA PPII - PLATERO sobre YNC,Canthon cyanellus,25,0.080692762,25
299,EIA PPII - PLATERO sobre YNC,Canthon juvencus,20,0.07691312,20
300,EIA PPII - PLATERO sobre YNC,Canthon monilifer,53,0.204100652,53
301,EIA PPII - PLATERO sobre YNC,Canthon subhyalinus,3,0.014626696,3
302,EIA PPII - PLATERO sobre YNC,Canthon triangularis,4,0.012012012,4
303,EIA PPII - PLATERO sobre YNC,Cardellina canadensis,1,0.027449904,1
304,EIA PPII - PLATERO sobre YNC,Carebara sp.1,42,0.003844042,42
305,EIA PPII - PLATERO sobre YNC,Carollia castanea,25,2.021018593,25
306,EIA PPII - PLATERO sobre YNC,Carollia perspicillata,138,11.15602264,138
307,EIA PPII - PLATERO sobre YNC,Catharus ustulatus,4,0.109799616,4
308,EIA PPII - PLATERO sobre YNC,Cebus versicolor,42,3.395311237,42
309,EIA PPII - PLATERO sobre YNC,Cephalotes atratus,6,0.000549149,6
310,EIA PPII - PLATERO sobre YNC,Cephalotes sp.1,45,0.00422336,45
311,EIA PPII - PLATERO sobre YNC,Cephalotes sp.2,18,0.00167887,18
312,EIA PPII - PLATERO sobre YNC,Cephalotes sp.3,1,9.15248E-05,1
313,EIA PPII - PLATERO sobre YNC,Cephalotes sp.4,4,0.000376574,4
314,EIA PPII - PLATERO sobre YNC,Cephalotes sp.5,2,0.000203998,2
315,EIA PPII - PLATERO sobre YNC,Cerdocyon thous,5,0.404203719,5
316,EIA PPII - PLATERO sobre YNC,Chiroderma trinitatum,6,0.485044462,6
317,EIA PPII - PLATERO sobre YNC,Chloroceryle aenea,11,0.301948943,11
318,EIA PPII - PLATERO sobre YNC,Chrysuronia goudoti,1,0.027449904,1
319,EIA PPII - PLATERO sobre YNC,Colobura dirce,68,0.303099796,68
320,EIA PPII - PLATERO sobre YNC,Columbina talpacoti,1,0.027449904,1
321,EIA PPII - PLATERO sobre YNC,Conocephalus angustifrons Redtenbacher,2,0.22,2
322,EIA PPII - PLATERO sobre YNC,Conocephalus cinereus Thunberg,2,0.22,2
323,EIA PPII - PLATERO sobre YNC,Coprophanaeus corythus,9,0.043880087,9
324,EIA PPII - PLATERO sobre YNC,Coprophanaeus gamezi,6,0.023635705,6
325,EIA PPII - PLATERO sobre YNC,Crematogaster sp.1,677,0.063973373,677
326,EIA PPII - PLATERO sobre YNC,Crematogaster sp.2,1722,0.174752272,1722
327,EIA PPII - PLATERO sobre YNC,Crematogaster sp.3,358,0.033855215,358
328,EIA PPII - PLATERO sobre YNC,Crematogaster sp.4,82,0.007976381,82
329,EIA PPII - PLATERO sobre YNC,Crematogaster sp.5,1456,0.133354383,1456
330,EIA PPII - PLATERO sobre YNC,Crematogaster sp.6,44,0.004163258,44
331,EIA PPII - PLATERO sobre YNC,Crematogaster sp.7,115,0.010839584,115
332,EIA PPII - PLATERO sobre YNC,Crematogaster sp.8,23,0.002325032,23
333,EIA PPII - PLATERO sobre YNC,Crematogaster sp.9,40,0.004059019,40
334,EIA PPII - PLATERO sobre YNC,Cricetidae sp,2,0.161681487,2
335,EIA PPII - PLATERO sobre YNC,Cricetidae sp2,2,0.161681487,2
336,EIA PPII - PLATERO sobre YNC,Cuniculus paca,82,6.628940986,82
